Survey_name,Station_number,Prime_number,DateTime,Latitude,Longitude,Sample_depth,Smartbuoy,TChlA_ug/L,TChl_ug/L,AP_ug/L,Degrad_products_ug/L,TP_ug/L,Fuc_ug/L,Per_ug/L,Hex_ug/L,But_ug/L,Allo_ug/L,Chlb_ug/L,Zea_ug/L
CEND16_21,89,21,15/10/2021 04:44,50.00524,-4.32676,2,No data,4.850275292,6.155643743,4.716547055,0,9.566822347,1.545412113,0.035140018,0.124226033,1.113205562,0.019222319,0.129568644,0.015189759
CEND16_21,96,109,15/10/2021 23:27,49.22454,-5.098,3,No data,2.495414357,3.316030068,2.404112907,0.034034017,4.899527264,0.221962851,0.086244985,0.445466369,0.066492448,0.301771817,0.311160726,0.047657766
CEND16_21,122,94,18/10/2021 22:33,49.45406,-6.08742,6,No data,0.565374204,0.804593233,0.760736681,0,1.326110885,0.063610815,0.02418932,0.212683696,0.042993359,0.01421564,0.070926567,0.025074065
CEND16_21,126,32,19/10/2021 02:31,49.84218,-5.61702,7,No data,3.101685339,4.11709155,3.183099955,0.167855746,6.284785294,0.951518952,0.035316002,0.190299196,0.628569202,0.027011786,0.123340906,0.014517507
CEND16_21,133,28,19/10/2021 21:23,49.83883333,-5.111988333,4,No data,0.983108016,1.310078604,1.120013826,0.018455205,2.103121842,0.199540693,0.042858142,0.21875771,0.044065432,0.048434607,0.105130457,0.011496608
CEND16_21,136,27,20/10/2021 02:07,49.67396167,-4.84824,4,No data,1.307630784,1.770922431,1.366401185,0.013850857,2.674031969,0.198535408,0.046193185,0.225853744,0.031069719,0.118441991,0.194883183,0.01210983
CEND16_21,148,36,22/10/2021 03:27,50.08778,-6.11044,5,No data,0.405038287,0.566347944,0.564772288,0,0.969810575,0.052980408,0.035506916,0.058665291,0.011674732,0.02344394,0.076472512,0.014504095
CEND16_21,156,40,23/10/2021 00:46,49.67156667,-6.62423,4,No data,0.912802061,1.300847885,1.110938566,0,2.023740627,0.098535484,0.047050745,0.245868506,0.057042698,0.025326558,0.175439039,0.025548
CEND16_21,206,69,27/10/2021 10:37,51.34777833,-3.758695,4,No data,0.726468907,0.872774306,0.659350777,0.017786822,1.385819684,0.307433455,0.018837974,0.004699928,0.005367089,0.03234365,0.048975147,0.005985165
CEND16_21,214,64,27/10/2021 22:20,51.30916667,-4.159501667,4,No data,0.874728961,1.063499424,0.809142378,0.028019369,1.683871338,0.371361341,0.028970308,0.010263139,0.007089637,0.034075062,0.057028464,0.003581493
