latitude,longitude,date,max_chla
50.0,345.0,2009-06-09,1.3016771078109741
50.0,345.25,2009-06-09,1.2565131187438965
50.0,345.5,2009-06-09,1.2939398288726807
50.0,345.75,2009-06-09,1.391258955001831
50.0,346.0,2009-06-09,1.5961874723434448
50.0,346.25,2009-06-09,1.4199590682983398
50.0,346.5,2009-06-09,1.5327509641647339
50.0,346.75,2009-06-09,1.396799087524414
50.0,347.0,2009-06-09,1.4540696144104004
50.0,347.25,2009-06-09,1.593266487121582
50.0,347.5,2009-06-09,1.4270741939544678
50.0,347.75,2009-06-09,1.266570806503296
50.0,348.0,2009-06-25,1.1969512701034546
50.0,348.25,2009-06-09,1.217911720275879
50.0,348.5,2009-06-09,1.158732295036316
50.0,348.75,2009-06-09,1.1920586824417114
50.0,349.0,2009-06-09,1.1897556781768799
50.0,349.25,2009-04-22,1.456835150718689
50.0,349.5,2009-04-22,1.4026165008544922
50.0,349.75,2009-04-30,1.8151185512542725
50.0,350.0,2009-04-30,1.9799978733062744
50.0,350.25,2009-04-06,1.299455165863037
50.0,350.5,2009-04-14,1.9431623220443726
50.0,350.75,2009-04-06,2.074705123901367
50.0,351.0,2009-04-06,2.077279806137085
50.0,351.25,2009-04-14,2.104212760925293
50.0,351.5,2009-04-06,2.3208041191101074
50.0,351.75,2009-04-06,2.517470359802246
50.0,352.0,2009-04-14,3.0752503871917725
50.0,352.25,2009-04-14,2.799715518951416
50.0,352.5,2009-04-14,3.090254306793213
50.0,352.75,2009-04-06,2.169243812561035
50.0,353.0,2009-04-14,1.7808750867843628
50.0,353.25,2009-04-14,2.2858164310455322
50.0,353.5,2009-07-19,2.6875219345092773
50.0,353.75,2009-07-19,1.722151517868042
50.0,354.0,2009-05-16,1.9738932847976685
50.0,354.25,2009-08-28,2.2663609981536865
50.0,354.5,2009-08-28,4.000713348388672
50.0,354.75,2009-01-24,2.9116315841674805
50.0,355.0,2009-08-28,2.98024845123291
50.0,355.25,2009-08-28,2.3945236206054688
50.0,355.5,2009-07-11,2.5652194023132324
50.0,355.75,2009-07-27,2.106039047241211
50.0,356.0,2009-07-27,2.7622299194335938
50.0,356.25,2009-07-19,3.5878520011901855
50.0,356.5,2009-07-27,3.6556968688964844
50.0,356.75,2009-07-27,4.994543552398682
50.0,357.0,2009-07-27,3.548633098602295
50.0,357.25,2009-08-04,2.271246910095215
50.0,357.5,2009-05-08,1.6921430826187134
50.0,357.75,2009-02-09,1.9317116737365723
50.0,358.0,2009-02-09,1.8953341245651245
50.0,358.25,2009-04-30,2.0173399448394775
50.0,358.5,2009-05-08,1.901025414466858
50.0,358.75,2009-02-09,2.232745885848999
50.0,359.0,2009-05-08,1.9466111660003662
50.0,359.25,2009-03-29,1.5447087287902832
50.0,359.5,2009-03-29,1.596848726272583
50.0,359.75,2009-05-16,2.1114015579223633
50.25,345.0,2009-06-09,1.351279854774475
50.25,345.25,2009-06-01,1.3172736167907715
50.25,345.5,2009-06-01,1.309647798538208
50.25,345.75,2009-06-09,1.2830109596252441
50.25,346.0,2009-06-09,1.425830364227295
50.25,346.25,2009-06-09,1.3629504442214966
50.25,346.5,2009-06-09,1.3961622714996338
50.25,346.75,2009-06-09,1.3302416801452637
50.25,347.0,2009-06-09,1.615435242652893
50.25,347.25,2009-06-09,1.6863503456115723
50.25,347.5,2009-06-09,1.412673830986023
50.25,347.75,2009-06-09,1.330963134765625
50.25,348.0,2009-06-09,1.2071517705917358
50.25,348.25,2009-06-17,1.2267866134643555
50.25,348.5,2009-06-17,1.2856160402297974
50.25,348.75,2009-06-09,1.322492003440857
50.25,349.0,2009-06-01,1.277586579322815
50.25,349.25,2009-06-09,1.2144191265106201
50.25,349.5,2009-04-22,1.3194453716278076
50.25,349.75,2009-04-06,1.7751680612564087
50.25,350.0,2009-04-30,1.7748500108718872
50.25,350.25,2009-04-30,1.8430349826812744
50.25,350.5,2009-04-14,1.8128007650375366
50.25,350.75,2009-04-30,1.6534169912338257
50.25,351.0,2009-04-14,1.8740180730819702
50.25,351.25,2009-04-06,1.846433401107788
50.25,351.5,2009-04-06,2.2629995346069336
50.25,351.75,2009-04-06,2.2134432792663574
50.25,352.0,2009-04-14,2.539773464202881
50.25,352.25,2009-04-14,2.4492077827453613
50.25,352.5,2009-04-14,2.238154172897339
50.25,352.75,2009-04-06,1.7860033512115479
50.25,353.0,2009-01-24,1.7467652559280396
50.25,353.25,2009-01-24,1.9133132696151733
50.25,353.5,2009-04-14,1.9690396785736084
50.25,353.75,2009-05-16,1.8154016733169556
50.25,354.0,2009-05-16,2.687464714050293
50.25,354.25,2009-08-28,1.9913110733032227
50.25,354.5,2009-02-01,2.279676675796509
50.25,354.75,2009-07-19,2.0706920623779297
50.25,355.0,2009-08-20,2.4909448623657227
50.25,355.25,2009-08-28,2.536294460296631
50.25,355.5,2009-08-28,5.267667770385742
50.25,355.75,2009-02-09,3.0503852367401123
50.25,356.0,2009-11-16,3.4667627811431885
50.25,356.25,2009-11-08,3.1263699531555176
50.25,356.5,2009-02-09,3.0664634704589844
50.25,356.75,2009-01-08,1.8023003339767456
50.25,357.0,2009-11-08,2.7365517616271973
50.25,357.25,2009-11-08,2.221390962600708
50.25,357.5,2009-11-24,2.5763251781463623
50.25,357.75,2009-11-24,2.435419797897339
50.25,358.0,2009-12-18,2.50862979888916
50.25,358.25,2009-12-02,2.8345255851745605
50.25,358.5,2009-12-18,2.594996213912964
50.25,358.75,2009-12-02,2.8552935123443604
50.25,359.0,2009-12-31,2.8139593601226807
50.25,359.25,2009-12-31,2.6460890769958496
50.25,359.5,2009-12-31,1.8877040147781372
50.25,359.75,2009-02-09,1.4490488767623901
50.5,345.0,2009-06-09,1.3488560914993286
50.5,345.25,2009-06-09,1.2366771697998047
50.5,345.5,2009-06-09,1.2840635776519775
50.5,345.75,2009-06-09,1.1675068140029907
