latitude,longitude,date,max_chla
50.0,345.0,2015-04-14,1.1272748708724976
50.0,345.25,2015-04-14,1.1811362504959106
50.0,345.5,2015-04-14,1.167976975440979
50.0,345.75,2015-04-14,1.102217674255371
50.0,346.0,2015-04-14,1.239109754562378
50.0,346.25,2015-04-14,1.2887736558914185
50.0,346.5,2015-04-14,1.2886323928833008
50.0,346.75,2015-04-14,1.2701406478881836
50.0,347.0,2015-04-14,1.2354756593704224
50.0,347.25,2015-04-14,1.209752082824707
50.0,347.5,2015-04-14,1.1671924591064453
50.0,347.75,2015-04-14,1.2908107042312622
50.0,348.0,2015-04-14,1.2810367345809937
50.0,348.25,2015-04-14,1.4962824583053589
50.0,348.5,2015-04-14,1.207822322845459
50.0,348.75,2015-04-14,0.9675375819206238
50.0,349.0,2015-04-14,1.2650806903839111
50.0,349.25,2015-04-14,1.7048259973526
50.0,349.5,2015-04-14,1.853697657585144
50.0,349.75,2015-04-14,2.157567024230957
50.0,350.0,2015-04-14,2.0624892711639404
50.0,350.25,2015-04-14,1.7343682050704956
50.0,350.5,2015-04-14,1.6574206352233887
50.0,350.75,2015-04-22,1.8883947134017944
50.0,351.0,2015-04-22,1.8728567361831665
50.0,351.25,2015-04-14,1.781085729598999
50.0,351.5,2015-04-14,1.9116096496582031
50.0,351.75,2015-04-22,1.6951195001602173
50.0,352.0,2015-05-08,1.326602578163147
50.0,352.25,2015-05-08,1.2822513580322266
50.0,352.5,2015-05-08,1.1404917240142822
50.0,352.75,2015-04-06,0.9433653950691223
50.0,353.0,2015-01-24,0.8381889462471008
50.0,353.25,2015-02-17,1.8092941045761108
50.0,353.5,2015-02-17,1.6997015476226807
50.0,353.75,2015-02-17,1.9453625679016113
50.0,354.0,2015-02-17,1.7946568727493286
50.0,354.25,2015-09-21,2.0818073749542236
50.0,354.5,2015-09-21,2.465670347213745
50.0,354.75,2015-09-21,2.2965404987335205
50.0,355.0,2015-09-21,2.594080686569214
50.0,355.25,2015-09-21,2.2529842853546143
50.0,355.5,2015-09-13,2.981822967529297
50.0,355.75,2015-09-21,2.65675950050354
50.0,356.0,2015-09-21,2.454706907272339
